Packages/attr-2.5.1-3.el9.x86_64.rpm	attr-2.5.1-3.el9.x86_64.rpm	66700	D:\BaseOS\Packages\attr-2.5.1-3.el9.x86_64.rpm
Packages/audispd-plugins-3.1.5-4.el9.x86_64.rpm	audispd-plugins-3.1.5-4.el9.x86_64.rpm	58678	D:\BaseOS\Packages\audispd-plugins-3.1.5-4.el9.x86_64.rpm
Packages/audispd-plugins-zos-3.1.5-4.el9.x86_64.rpm	audispd-plugins-zos-3.1.5-4.el9.x86_64.rpm	31706	D:\BaseOS\Packages\audispd-plugins-zos-3.1.5-4.el9.x86_64.rpm
Packages/audit-3.1.5-4.el9.x86_64.rpm	audit-3.1.5-4.el9.x86_64.rpm	284064	D:\BaseOS\Packages\audit-3.1.5-4.el9.x86_64.rpm
Packages/audit-libs-3.1.5-4.el9.i686.rpm	audit-libs-3.1.5-4.el9.i686.rpm	132838	D:\BaseOS\Packages\audit-libs-3.1.5-4.el9.i686.rpm
Packages/audit-libs-3.1.5-4.el9.x86_64.rpm	audit-libs-3.1.5-4.el9.x86_64.rpm	127977	D:\BaseOS\Packages\audit-libs-3.1.5-4.el9.x86_64.rpm
Packages/authselect-1.2.6-3.el9.x86_64.rpm	authselect-1.2.6-3.el9.x86_64.rpm	149666	D:\BaseOS\Packages\authselect-1.2.6-3.el9.x86_64.rpm
Packages/authselect-libs-1.2.6-3.el9.i686.rpm	authselect-libs-1.2.6-3.el9.i686.rpm	268322	D:\BaseOS\Packages\authselect-libs-1.2.6-3.el9.i686.rpm
Packages/authselect-libs-1.2.6-3.el9.x86_64.rpm	authselect-libs-1.2.6-3.el9.x86_64.rpm	266404	D:\BaseOS\Packages\authselect-libs-1.2.6-3.el9.x86_64.rpm
Packages/autofs-5.1.7-60.el9.x86_64.rpm	autofs-5.1.7-60.el9.x86_64.rpm	400139	D:\BaseOS\Packages\autofs-5.1.7-60.el9.x86_64.rpm
Packages/avahi-0.8-21.el9.i686.rpm	avahi-0.8-21.el9.i686.rpm	330850	D:\BaseOS\Packages\avahi-0.8-21.el9.i686.rpm
Packages/avahi-0.8-21.el9.x86_64.rpm	avahi-0.8-21.el9.x86_64.rpm	317594	D:\BaseOS\Packages\avahi-0.8-21.el9.x86_64.rpm
Packages/avahi-libs-0.8-21.el9.i686.rpm	avahi-libs-0.8-21.el9.i686.rpm	78231	D:\BaseOS\Packages\avahi-libs-0.8-21.el9.i686.rpm
Packages/avahi-libs-0.8-21.el9.x86_64.rpm	avahi-libs-0.8-21.el9.x86_64.rpm	73538	D:\BaseOS\Packages\avahi-libs-0.8-21.el9.x86_64.rpm
Packages/basesystem-11-13.el9.noarch.rpm	basesystem-11-13.el9.noarch.rpm	8229	D:\BaseOS\Packages\basesystem-11-13.el9.noarch.rpm
Packages/bash-5.1.8-9.el9.x86_64.rpm	bash-5.1.8-9.el9.x86_64.rpm	1769540	D:\BaseOS\Packages\bash-5.1.8-9.el9.x86_64.rpm
Packages/bash-completion-2.11-5.el9.noarch.rpm	bash-completion-2.11-5.el9.noarch.rpm	469639	D:\BaseOS\Packages\bash-completion-2.11-5.el9.noarch.rpm
Packages/bc-1.07.1-14.el9.x86_64.rpm	bc-1.07.1-14.el9.x86_64.rpm	127511	D:\BaseOS\Packages\bc-1.07.1-14.el9.x86_64.rpm
Packages/binutils-2.35.2-63.el9.i686.rpm	binutils-2.35.2-63.el9.i686.rpm	4910875	D:\BaseOS\Packages\binutils-2.35.2-63.el9.i686.rpm
Packages/binutils-2.35.2-63.el9.x86_64.rpm	binutils-2.35.2-63.el9.x86_64.rpm	4818636	D:\BaseOS\Packages\binutils-2.35.2-63.el9.x86_64.rpm
Packages/binutils-gold-2.35.2-63.el9.x86_64.rpm	binutils-gold-2.35.2-63.el9.x86_64.rpm	753176	D:\BaseOS\Packages\binutils-gold-2.35.2-63.el9.x86_64.rpm
Packages/biosdevname-0.7.3-10.el9.x86_64.rpm	biosdevname-0.7.3-10.el9.x86_64.rpm	38771	D:\BaseOS\Packages\biosdevname-0.7.3-10.el9.x86_64.rpm
Packages/bluez-5.72-4.el9.x86_64.rpm	bluez-5.72-4.el9.x86_64.rpm	1211127	D:\BaseOS\Packages\bluez-5.72-4.el9.x86_64.rpm
Packages/bluez-libs-5.72-4.el9.i686.rpm	bluez-libs-5.72-4.el9.i686.rpm	89769	D:\BaseOS\Packages\bluez-libs-5.72-4.el9.i686.rpm
Packages/bluez-libs-5.72-4.el9.x86_64.rpm	bluez-libs-5.72-4.el9.x86_64.rpm	86356	D:\BaseOS\Packages\bluez-libs-5.72-4.el9.x86_64.rpm
Packages/bolt-0.9.7-1.el9.x86_64.rpm	bolt-0.9.7-1.el9.x86_64.rpm	201229	D:\BaseOS\Packages\bolt-0.9.7-1.el9.x86_64.rpm
Packages/bubblewrap-0.4.1-8.el9_5.x86_64.rpm	bubblewrap-0.4.1-8.el9_5.x86_64.rpm	53113	D:\BaseOS\Packages\bubblewrap-0.4.1-8.el9_5.x86_64.rpm
Packages/bzip2-1.0.8-10.el9_5.x86_64.rpm	bzip2-1.0.8-10.el9_5.x86_64.rpm	61101	D:\BaseOS\Packages\bzip2-1.0.8-10.el9_5.x86_64.rpm
Packages/bzip2-libs-1.0.8-10.el9_5.i686.rpm	bzip2-libs-1.0.8-10.el9_5.i686.rpm	42796	D:\BaseOS\Packages\bzip2-libs-1.0.8-10.el9_5.i686.rpm
Packages/bzip2-libs-1.0.8-10.el9_5.x86_64.rpm	bzip2-libs-1.0.8-10.el9_5.x86_64.rpm	42618	D:\BaseOS\Packages\bzip2-libs-1.0.8-10.el9_5.x86_64.rpm
Packages/c-ares-1.19.1-2.el9_4.i686.rpm	c-ares-1.19.1-2.el9_4.i686.rpm	120223	D:\BaseOS\Packages\c-ares-1.19.1-2.el9_4.i686.rpm
Packages/c-ares-1.19.1-2.el9_4.x86_64.rpm	c-ares-1.19.1-2.el9_4.x86_64.rpm	115709	D:\BaseOS\Packages\c-ares-1.19.1-2.el9_4.x86_64.rpm
